Week,Billed,Current Project,Sentient
20180226,37152,0,37152
20180305,11844,0,9684
20180312,11094,0,8244
20180319,10074,0,6654
20180326,0,10074,4724
20180402,0,8144,534
20180409,0,3954,534
20180416,0,3954,534
20180423,0,3954,534
20180430,0,3954,534
